id,filename,unit,words_in_sintagmas,from_time,to_time
4001,111111,01,юрий трифонов,0.0,1.107437641723356
4002,111111,p6,,1.107437641723356,1.7251700680272108
4003,222222,01,обмен,0.0,0.6035374149659863
4004,222222,p6,,0.6035374149659863,2.3124263038548754
4005,333333,11,в июле,0.0,0.5772335600907029
4006,333333,11,мать дмитриева,0.5772335600907029,1.5629931972789115
4007,333333,12,ксения федоровна,1.5629931972789115,2.592108843537415
4008,333333,10,тяжело заболела,2.592108843537415,3.6648526077097507
4009,333333,p4,,3.6648526077097507,3.9783673469387755
4010,333333,10,и ее отвезли в боткинскую,3.9783673469387755,5.715419501133787
4011,333333,p3,,5.715419501133787,5.844172335600907
4012,333333,11,где она пролежала двенадцать дней,5.844172335600907,7.864444444444445
4013,333333,p3,,7.864444444444445,8.105759637188209
4014,333333,01a,с подозрением на самое худшее,8.105759637188209,10.03061224489796
4015,333333,p5,,10.03061224489796,10.736326530612246
4016,444444,12a,в сентябре сделали операцию,0.0,1.6256235827664398
4017,444444,p4,,1.6256235827664398,1.7317460317460318
4018,444444,10,худшее подтвердилось,1.7317460317460318,2.9272108843537414
4019,444444,p4,,2.9272108843537414,3.2924716553287983
4020,444444,11,но ксения федоровна,3.2924716553287983,4.474829931972789
4021,444444,09b,считавшая что у нее язвенная болезнь,4.474829931972789,6.70984126984127
4022,444444,p3,,6.70984126984127,6.982721088435374
4023,444444,10,почувствовала улучшение,6.982721088435374,8.51437641723356
4024,444444,p3,,8.51437641723356,8.845396825396826
4025,444444,11,стала вскоре ходить,8.845396825396826,10.043628117913832
4026,444444,p4,,10.043628117913832,10.26344671201814
4027,444444,10,и в октябре ее отправили домой,10.26344671201814,12.212834467120182
4028,444444,p3,,12.212834467120182,12.483492063492063
4029,444444,11,пополневшую,12.483492063492063,13.392517006802722
4030,444444,11,и твердо уверенную в том,13.392517006802722,14.915464852607709
4031,444444,01a,что дело идет на поправку,14.915464852607709,16.70530612244898
